id,poder,pp,precision,prioridad,nombre,tipo,naturaleza
0,40,35,100,0,Destructor,Normal,Fisico
1,50,25,100,0,Golpe Karate,Lucha,Fisico
2,15,10,85,0,Doble Bofeton,Normal,Fisico
3,18,15,85,0,Puno Cometa,Normal,Fisico
4,80,20,85,0,Megapuno,Normal,Fisico
5,40,20,100,0,Dia de Pago,Normal,Fisico
6,75,15,100,0,Puno Fuego,Fuego,Fisico
7,75,15,100,0,Puno Hielo,Hielo,Fisico
8,75,15,100,0,Puno Trueno,Electrico,Fisico
9,40,35,100,0,Aranazo,Normal,Fisico
10,55,30,100,0,Agarre,Normal,Fisico
12,80,10,100,0,Viento Cortante,Normal,Especial
14,50,30,95,0,Corte,Normal,Fisico
15,40,35,100,0,Tornado,Volador,Especial
16,60,35,100,0,Ataque Ala,Volador,Fisico
18,90,15,95,0,Vuelo,Volador,Fisico
19,15,20,85,0,Atadura,Normal,Fisico
20,80,20,75,0,Atizar,Normal,Fisico
21,45,25,100,0,Latigo Cepa,Planta,Fisico
22,65,20,100,0,Pisoton,Normal,Fisico
23,30,30,100,0,Doble Patada,Lucha,Fisico
24,120,5,75,0,Megapatada,Normal,Fisico
25,100,10,95,0,Patada Salto,Lucha,Fisico
26,60,15,85,0,Patada Giro,Lucha,Fisico
28,70,15,100,0,Golpe Cabeza,Normal,Fisico
29,65,25,100,0,Cornada,Normal,Fisico
30,15,20,85,0,Ataque Furia,Normal,Fisico
32,40,35,100,0,Placaje,Normal,Fisico
33,85,15,100,0,Golpe Cuerpo,Normal,Fisico
34,15,20,90,0,Constriccion,Normal,Fisico
35,90,20,85,0,Derribo,Normal,Fisico
36,120,10,100,0,Golpe,Normal,Fisico
37,120,15,100,0,Doble Filo,Normal,Fisico
39,15,35,100,0,Picotazo Ven,Veneno,Fisico
40,25,20,100,0,Doble Ataque,Bicho,Fisico
41,25,20,95,0,Pin Misil,Bicho,Fisico
43,60,25,100,0,Mordisco,Siniestro,Fisico
50,40,30,100,0,Acido,Veneno,Especial
51,40,25,100,0,Ascuas,Fuego,Especial
52,90,15,100,0,Lanzallamas,Fuego,Especial
54,40,25,100,0,Pistola Agua,Agua,Especial
55,110,5,80,0,Hidrobomba,Agua,Especial
56,90,15,100,0,Surf,Agua,Especial
57,90,10,100,0,Rayo Hielo,Hielo,Especial
58,110,5,70,0,Ventisca,Hielo,Especial
59,65,20,100,0,Psicorrayo,Psiquico,Especial
60,65,20,100,0,Rayo Burbuja,Agua,Especial
61,65,20,100,0,Rayo Aurora,Hielo,Especial
62,150,5,90,0,Hiperrayo,Normal,Especial
63,35,35,100,0,Picotazo,Volador,Fisico
64,80,20,100,0,Pico Taladro,Volador,Fisico
65,80,20,80,0,Sumision,Lucha,Fisico
69,80,15,100,0,Fuerza,Normal,Fisico
70,20,25,100,0,Absorber,Planta,Especial
71,40,15,100,0,Megaagotar,Planta,Especial
74,55,25,95,0,Hoja Afilada,Planta,Fisico
75,120,10,100,0,Rayo Solar,Planta,Especial
79,120,10,100,0,Danza Petalo,Planta,Especial
82,35,15,85,0,Giro Fuego,Fuego,Especial
83,40,30,100,0,Impactrueno,Electrico,Especial
84,90,15,100,0,Rayo,Electrico,Especial
86,110,10,70,0,Trueno,Electrico,Especial
87,50,15,90,0,Lanzarrocas,Roca,Fisico
88,100,10,100,0,Terremoto,Tierra,Fisico
90,80,10,100,0,Excavar,Tierra,Fisico
92,50,25,100,0,Confusion,Psiquico,Especial
93,90,10,100,0,Psiquico,Psiquico,Especial
97,40,30,100,1,Ataque Rapido,Normal,Fisico
98,20,20,100,0,Furia,Normal,Fisico
119,200,5,100,0,Autodestruccion,Normal,Fisico
120,100,10,75,0,Bomba Huevo,Normal,Fisico
121,30,30,100,0,Lenguetazo,Fantasma,Fisico
122,30,20,70,0,Polucion,Veneno,Especial
123,65,20,100,0,Residuos,Veneno,Especial
124,65,20,85,0,Hueso Palo,Tierra,Fisico
125,110,5,85,0,Llamarada,Fuego,Especial
126,80,15,100,0,Cascada,Agua,Fisico
127,35,15,85,0,Tenaza,Agua,Fisico
129,130,10,100,0,Cabezazo,Normal,Fisico
130,20,15,100,0,Clavo Canon,Normal,Fisico
131,10,35,100,0,Restriccion,Normal,Fisico
135,130,10,90,0,Pat. Salto Alta,Lucha,Fisico
137,100,15,100,0,Come Suenos,Psiquico,Especial
139,15,20,85,0,Presa,Normal,Fisico
140,80,10,100,0,Chupavidas,Bicho,Fisico
142,140,5,90,0,Ataque Aereo,Volador,Fisico
144,40,30,100,0,Burbuja,Agua,Especial
145,70,10,100,0,Puno Mareo,Normal,Fisico
151,100,10,90,0,Martillazo,Agua,Fisico
152,250,5,100,0,Explosion,Normal,Fisico
153,18,15,80,0,Golpes Furia,Normal,Fisico
154,50,10,90,0,Huesomerang,Tierra,Fisico
156,75,10,90,0,Avalancha,Roca,Fisico
157,80,15,90,0,Hipercolmillo,Normal,Fisico
160,80,10,100,0,Triataque,Normal,Especial
162,70,20,100,0,Cuchillada,Normal,Fisico
166,10,10,90,0,Triple Patada,Lucha,Fisico
167,60,25,100,0,Ladron,Siniestro,Fisico
171,60,25,100,0,Rueda Fuego,Fuego,Fisico
172,50,15,100,0,Ronquido,Normal,Especial
176,100,5,95,0,Aerochorro,Volador,Especial
180,40,25,100,0,Nieve Polvo,Hielo,Especial
182,40,30,100,1,Ultrapuno,Lucha,Fisico
187,90,10,100,0,Bomba Lodo,Veneno,Especial
188,20,10,100,0,Bofeton Lodo,Tierra,Especial
189,65,10,85,0,Pulpocanon,Agua,Especial
191,120,5,50,0,Electrocanon,Electrico,Especial
195,55,15,95,0,Viento Hielo,Hielo,Especial
197,25,10,90,0,Ataque Oseo,Tierra,Fisico
199,120,10,100,0,Enfado,Dragon,Fisico
201,75,10,100,0,Gigadrenado,Planta,Especial
204,30,20,90,0,Desenrollar,Roca,Fisico
205,40,40,100,0,Falsotortazo,Normal,Fisico
208,65,20,100,0,Chispa,Electrico,Fisico
209,40,20,95,0,Corte Furia,Bicho,Fisico
210,70,25,90,0,Ala de Acero,Acero,Fisico
220,100,5,95,0,Fuego Sagrado,Fuego,Fisico
222,100,5,50,0,Puno Dinamico,Lucha,Fisico
223,120,10,85,0,Megacuerno,Bicho,Fisico
224,60,20,100,0,Dragoaliento,Dragon,Especial
227,40,20,100,0,Persecucion,Siniestro,Fisico
228,20,40,100,0,Giro Rapido,Normal,Fisico
230,100,15,75,0,Cola Ferrea,Acero,Fisico
231,50,35,95,0,Garra Metal,Acero,Fisico
236,60,15,100,0,Poder Oculto,Normal,Especial
237,100,5,80,0,Tajo Cruzado,Lucha,Fisico
238,40,20,100,0,Ciclon,Dragon,Especial
241,80,15,100,0,Triturar,Siniestro,Fisico
244,80,5,100,2,Veloc. Extrema,Normal,Fisico
245,60,5,100,0,Poder Pasado,Roca,Especial
246,80,15,100,0,Bola Sombra,Fantasma,Especial
247,120,10,100,0,Premonicion,Psiquico,Especial
248,40,15,100,0,Golpe Roca,Lucha,Fisico
249,35,15,85,0,Torbellino,Agua,Especial
