id,nombre,tipo1,tipo2,ps,ataque,defensa,ataqueSP,defensaSP,velocidad
0,Bulbasaur,Planta,Veneno,131,80,80,96,96,76
1,Ivysaur,Planta,Veneno,146,93,94,111,111,91
2,Venusaur,Planta,Veneno,166,113,114,131,131,111
3,Charmander,Fuego,,125,83,74,91,81,96
4,Charmeleon,Fuego,,144,95,89,111,96,111
5,Charizard,Fuego,Volador,164,115,109,140,116,131
6,Squirtle,Agua,,130,79,96,81,95,74
7,Wartortle,Agua,,145,94,111,96,111,89
8,Blastoise,Agua,,165,114,131,116,136,109
9,Caterpie,Bicho,,131,61,66,51,51,76
10,Metapod,Bicho,,136,51,86,56,56,61
11,Butterfree,Bicho,Volador,146,76,81,121,111,101
12,Weedle,Bicho,Veneno,126,66,61,51,51,81
13,Kakuna,Bicho,Veneno,131,56,81,56,56,66
14,Beedrill,Bicho,Veneno,151,121,71,76,111,106
15,Pidgey,Normal,Volador,126,76,71,66,66,87
16,Pidgeotto,Normal,Volador,149,91,86,81,81,102
17,Pidgeot,Normal,Volador,169,111,106,101,101,132
18,Rattata,Normal,,116,87,66,56,66,103
19,Raticate,Normal,,141,112,91,81,101,128
20,Spearow,Normal,Volador,126,91,61,62,62,101
21,Fearow,Normal,Volador,151,121,96,92,92,131
22,Ekans,Veneno,,121,91,75,71,85,86
23,Arbok,Veneno,,146,126,100,96,110,111
24,Pikachu,Electrico,,121,86,71,81,81,121
25,Raichu,Electrico,,146,121,86,121,111,141
26,Sandshrew,Tierra,,136,106,116,51,61,71
27,Sandslash,Tierra,,161,131,141,76,86,96
28,Nidoran♀,Veneno,,141,78,83,71,71,72
29,Nidorina,Veneno,,156,93,98,86,86,87
30,Nidoqueen,Veneno,Tierra,176,123,118,106,116,107
31,Nidoran♂,Veneno,,132,88,71,71,71,81
32,Nidorino,Veneno,,147,103,88,86,86,96
33,Nidoking,Veneno,Tierra,167,133,108,116,106,116
34,Clefairy,Hada,,156,76,79,91,96,66
35,Clefable,Hada,,181,101,104,126,121,91
36,Vulpix,Fuego,,124,72,71,81,96,96
37,Ninetales,Fuego,,159,107,106,112,131,131
38,Jigglypuff,Normal,Hada,201,76,51,76,56,51
39,Wigglytuff,Normal,Hada,226,101,76,116,81,76
40,Zubat,Veneno,Volador,126,76,66,61,71,86
41,Golbat,Veneno,Volador,161,111,101,96,106,121
42,Oddish,Planta,Veneno,131,81,86,106,96,61
43,Gloom,Planta,Veneno,146,96,101,116,106,71
44,Vileplume,Planta,Veneno,161,111,116,141,121,81
45,Paras,Bicho,Planta,121,101,86,76,86,56
46,Parasect,Bicho,Planta,146,126,111,91,111,61
47,Venonat,Bicho,Veneno,146,86,81,71,86,76
48,Venomoth,Bicho,Veneno,156,96,91,121,106,121
49,Diglett,Tierra,,96,86,56,66,76,126
50,Dugtrio,Tierra,,121,131,81,81,101,151
51,Meowth,Normal,,126,76,66,71,71,121
52,Persian,Normal,,151,101,91,96,96,146
53,Psyduck,Agua,,136,83,79,96,81,86
54,Golduck,Agua,,166,113,109,126,111,116
55,Mankey,Lucha,,126,111,66,66,76,101
56,Primeape,Lucha,,151,136,91,91,101,126
57,Growlithe,Fuego,,141,101,76,101,81,91
58,Arcanine,Fuego,,176,141,111,131,111,126
59,Poliwag,Agua,,126,81,71,71,71,121
60,Poliwhirl,Agua,,151,96,96,81,81,121
61,Poliwrath,Agua,Lucha,176,126,126,101,121,101
62,Abra,Psiquico,,111,51,46,136,86,121
63,Kadabra,Psiquico,,126,66,61,151,101,136
64,Alakazam,Psiquico,,141,81,76,166,126,151
65,Machop,Lucha,,156,111,81,66,66,66
66,Machoke,Lucha,,166,131,101,81,91,76
67,Machamp,Lucha,,176,161,111,96,116,86
68,Bellsprout,Planta,Veneno,136,106,66,101,61,71
69,Weepinbell,Planta,Veneno,151,121,81,116,76,86
70,Victreebel,Planta,Veneno,166,136,96,131,101,101
71,Tentacool,Agua,Veneno,126,71,66,81,131,101
72,Tentacruel,Agua,Veneno,166,101,96,111,151,131
73,Geodude,Roca,Tierra,126,111,131,61,61,51
74,Graveler,Roca,Tierra,141,126,146,76,76,66
75,Golem,Roca,Tierra,166,151,161,86,96,76
76,Ponyta,Fuego,,136,116,86,96,96,121
77,Rapidash,Fuego,,151,131,101,111,111,136
78,Slowpoke,Agua,Psiquico,176,96,96,71,71,46
79,Slowbro,Agua,Psiquico,181,106,141,131,111,61
80,Magnemite,Electrico,Acero,111,66,101,126,86,76
81,Magneton,Electrico,Acero,136,91,126,151,101,101
82,Farfetch’d,Normal,Volador,138,121,86,89,93,91
83,Doduo,Normal,Volador,121,116,76,66,66,106
84,Dodrio,Normal,Volador,146,141,101,91,91,131
